Age,Gender,Race,Public,Small,Adult,Learn,Status,School
8,M,,1,5,3,Yes,Initial,Monroe
8,M,Hispanic,3,5,2,Yes,Initial,Monroe
9,M,,3,5,3,No,Initial,Monroe
9,M,Hispanic,4,5,5,Yes,Initial,Monroe
9,M,Hispanic,3,5,3,Yes,Initial,Monroe
10,F,Hispanic,1,2,1,No,Initial,Monroe
9,M,Hispanic,2,5,1,Yes,Initial,Monroe
9,F,Hispanic,3,4,2,Yes,Initial,Monroe
9,F,Hispanic,3,4,2,Yes,Initial,Monroe
9,M,White,1,3,5,Yes,Initial,Monroe
,M,Hispanic,4,4,3,No,Initial,Monroe
12,M,Hispanic,4,5,4,Yes,Initial,Monroe
8,F,Hispanic,1,1,1,Yes,Initial,Monroe
9,F,Hispanic,3,5,5,Yes,Initial,Monroe
8,F,Hispanic,3,5,5,Yes,Initial,Monroe
,,,,,,,Initial,Monroe Spanish
,,,,,,,Initial,Monroe Spanish
,,,,,,,Initial,Monroe Spanish
,,,,,,,Initial,Monroe Spanish
13,M,Hispanic,2,5,4,Yes,Initial,La Cumbre
12,F,Hispanic,3,5,3,No,Initial,La Cumbre
13,M,Hispanic,2,5,3,Yes,Initial,La Cumbre
,M,Hispanic,2,3,2,No,Initial,La Cumbre
14,F,Hispanic,3,4,4,No,Initial,La Cumbre
13,F,Hispanic,4,5,3,No,Initial,La Cumbre
13,F,Hispanic,2,4,3,No,Initial,La Cumbre
13,F,Hispanic,3,5,3,Yes,Initial,La Cumbre
12,F,Hispanic,1,2,1,Yes,Initial,La Cumbre
13,F,Hispanic,2,4,2,Yes,Initial,La Cumbre
13,F,Hispanic,2,4,3,Yes,Initial,La Cumbre
12,F,Asian,2,4,4,Yes,Initial,La Cumbre
10,M,Hispanic,5,5,5,Yes,Initial,Franklin
6,M,Hispanic,5,5,1,Yes,Initial,Franklin
,M,Hispanic,5,5,5,Yes,Initial,Franklin
6,F,Hispanic,1,1,1,Yes,Initial,Franklin
6,M,White,1,5,5,Yes,Initial,Franklin
7,F,Hispanic/Black,1,5,5,Yes,Initial,Franklin
6,F,Hispanic,1,5,5,Yes,Initial,Franklin
7,F,Black,3,1,5,Yes,Initial,Franklin
9,F,Hispanic/Black,1,,5,Yes,Initial,Franklin
6,F,Hispanic/Black,5,5,5,Yes,Initial,Franklin
6,M,Hispanic,5,5,5,Yes,Initial,Franklin
6,M,Hispanic,5,5,5,Yes,Initial,Franklin
7,F,Hispanic,1,,5,Yes,Initial,Franklin
11,F,Hispanic,1,4,5,Yes,Initial,Mckinley
11,F,Hispanic/Black,3,4,2,Yes,Initial,Mckinley
11,F,Hispanic,1,3,5,Yes,Initial,Mckinley
12,F,Hispanic,1,3,5,Yes,Initial,Mckinley
9,M,Hispanic,1,3,1,Yes,Initial,Mckinley
8,M,Hispanic,5,3,5,,Initial,Adelante
9,M,Hispanic,5,4,5,,Initial,Adelante
8,F,White/Hispanic/Asian,3,5,4,,Initial,Adelante
8,F,Hispanic,1,4,5,,Initial,Adelante
,F,Hispanic,0,0,,,Initial,Adelante
8,F,Hispanic,1,1,2,,Initial,Adelante
8,M,Hispanic,2,3,5,,Initial,Adelante
8,M,Hispanic,4,5,5,,Initial,Adelante
8,F,Hispanic,0,0,,,Initial,Adelante
8,F,Hispanic,1,5,5,,Initial,Adelante
8,M,Hispanic,2,1,3,,Initial,Adelante
7,M,,5,5,5,,Initial,Adelante
8,M,White,5,5,5,,Initial,Franklin
8,M,Hispanic/White,3,5,5,Yes,Initial,Franklin
7,M,White,5,5,5,Yes,Initial,Franklin
7,M,Hispanic,5,5,5,Yes,Initial,Franklin
8,F,Hispanic,1,3,5,Yes,Initial,Franklin
11,F,Hispanic,3,5,5,Yes,Initial,Franklin
7,F,Hispanic,3,3,5,Yes,Initial,Franklin
,M,Hispanic,5,5,5,Yes,Initial,Franklin
,M,Black,5,5,5,Yes,Initial,Franklin
